Age,Gender,Interest
8,1,Animation
11,1,Animation
12,1,Animation
16,1,Action
18,1,Action
19,1,Action
23,1,Drama
26,1,Drama
27,1,Drama
7,0,Animation
9,0,Animation
10,0,Animation
26,0,Action
27,0,Action
30,0,Action
31,0,Drama
34,0,Drama
35,0,Drama
30,1,Fantasy
32,0,Fantasy
35,1,Drama
60,0,Romance
10,1,Drama
12,1,Animation
11,1,Comedy
37,0,Fantasy
13,0,Action
38,1,Action
10,0,Sci-Fi
38,0,Thriller
8,0,Action
24,0,Drama
26,0,Horror
21,1,Horror
49,1,Action
48,1,Action
18,0,Documentary
36,0,Horror
8,1,Fantasy
17,0,Sci-Fi
34,0,Drama
52,0,Comedy
39,1,Comedy
42,1,Documentary
42,1,Action
42,0,Fantasy
47,0,Horror
48,0,Romance
21,0,Comedy
40,1,Animation
37,1,Thriller
45,1,Sci-Fi
59,1,Action
48,1,Fantasy
28,1,Drama
18,0,Documentary
46,1,Action
33,0,Animation
14,1,Fantasy
37,0,Romance
31,1,Drama
17,1,Action
13,0,Sci-Fi
48,0,Documentary
29,0,Documentary
32,1,Sci-Fi
33,1,Horror
22,1,Action
20,0,Horror
24,1,Action
33,1,Sci-Fi
36,1,Comedy
9,0,Comedy
33,0,Fantasy
44,0,Romance
40,0,Romance
46,0,Comedy
43,1,Animation
50,0,Fantasy
59,1,Comedy
31,0,Animation
21,0,Sci-Fi
50,0,Romance
26,1,Drama
17,0,Action
20,1,Fantasy
60,1,Drama
25,0,Sci-Fi
20,0,Thriller
32,0,Romance
41,0,Fantasy
42,1,Documentary
47,0,Comedy
24,0,Fantasy
56,1,Comedy
56,1,Fantasy
10,0,Sci-Fi
28,1,Comedy
26,0,Documentary
45,0,Comedy
7,1,Horror
12,0,Documentary
57,0,Romance
51,1,Comedy
56,0,Thriller
41,1,Comedy
12,1,Animation
10,1,Horror
50,0,Thriller
14,1,Animation
41,1,Horror
7,1,Fantasy
36,1,Comedy
15,0,Action
48,1,Documentary
53,1,Fantasy
56,1,Romance
15,1,Documentary
60,1,Horror
31,0,Romance
39,1,Drama
47,1,Thriller
54,1,Thriller
27,1,Fantasy
36,0,Action
40,0,Action
29,0,Sci-Fi
50,0,Animation
22,0,Action
18,0,Action
45,0,Documentary
38,0,Romance
57,1,Sci-Fi
34,1,Fantasy
53,0,Action
19,1,Horror
52,0,Horror
15,1,Romance
54,1,Drama
13,1,Romance
8,0,Fantasy
34,1,Animation
14,1,Sci-Fi
49,0,Sci-Fi
42,0,Comedy
37,1,Horror
42,1,Comedy
12,1,Fantasy
45,0,Sci-Fi
50,0,Drama
30,0,Comedy
60,0,Fantasy
49,1,Sci-Fi
33,0,Thriller
25,0,Thriller
17,0,Comedy
12,1,Sci-Fi
10,0,Drama
23,1,Drama
49,1,Action
19,0,Comedy
56,0,Drama
17,1,Comedy
50,0,Animation
46,0,Romance
18,1,Romance
33,0,Comedy
7,1,Fantasy
54,0,Thriller
57,1,Animation
53,0,Horror
11,0,Thriller
52,0,Documentary
33,0,Animation
42,1,Romance
36,1,Sci-Fi
15,0,Documentary
25,0,Comedy
40,0,Documentary
52,1,Fantasy
42,1,Comedy
30,0,Action
20,1,Drama
48,1,Comedy
34,1,Comedy
13,0,Drama
17,0,Sci-Fi
49,0,Romance
42,1,Romance
32,0,Horror
36,0,Horror
47,0,Fantasy
12,0,Documentary
27,1,Thriller
38,0,Comedy
11,0,Romance
24,0,Horror
16,0,Animation
57,0,Drama
25,0,Action
43,1,Fantasy
31,0,Documentary
57,1,Documentary
37,0,Fantasy
19,1,Comedy
8,1,Comedy
48,0,Comedy
37,0,Sci-Fi
31,1,Romance
29,1,Fantasy
8,1,Animation
27,0,Action
36,1,Romance
54,1,Documentary
11,1,Action
18,0,Drama
46,1,Drama
44,1,Horror
18,1,Drama
21,0,Animation
25,1,Action
40,0,Thriller
49,1,Action
53,1,Sci-Fi
11,0,Romance
47,0,Documentary
36,0,Thriller
54,0,Comedy
11,1,Fantasy
56,0,Thriller
22,1,Fantasy
26,0,Action
35,1,Animation
17,0,Documentary
31,1,Comedy
56,0,Romance
8,1,Fantasy
20,0,Drama
39,1,Horror
25,0,Drama
23,0,Sci-Fi
54,1,Comedy
12,0,Comedy
45,1,Fantasy
17,1,Thriller
30,0,Romance
36,0,Thriller
32,0,Sci-Fi
20,1,Horror
15,1,Animation
34,0,Animation
43,1,Animation
27,0,Horror
54,0,Romance
12,1,Thriller
45,1,Fantasy
30,1,Sci-Fi
47,0,Thriller
21,1,Action
55,0,Comedy
11,0,Thriller
14,1,Animation
52,1,Comedy
36,0,Fantasy
10,1,Animation
59,1,Documentary
7,1,Romance
14,1,Thriller
40,0,Comedy
43,1,Horror
29,0,Comedy
48,0,Drama
44,0,Action
59,1,Documentary
17,1,Sci-Fi
35,0,Action
15,1,Fantasy
12,1,Horror
10,1,Horror
25,1,Horror
34,1,Comedy
43,0,Horror
47,0,Horror
19,0,Thriller
25,0,Sci-Fi
22,1,Sci-Fi
23,1,Comedy
34,0,Action
29,0,Fantasy
10,1,Documentary
29,1,Horror
14,0,Fantasy
13,0,Horror
34,0,Sci-Fi
20,0,Animation
10,0,Fantasy
38,0,Horror
46,1,Sci-Fi
59,0,Comedy
39,0,Fantasy
17,1,Comedy
12,0,Horror
7,0,Comedy
43,0,Sci-Fi
43,0,Documentary
11,0,Action
25,0,Animation
37,0,Comedy
26,1,Animation
25,0,Documentary
38,1,Romance
12,1,Animation
12,0,Documentary
20,0,Action
29,1,Drama
60,0,Fantasy
13,1,Fantasy
60,0,Documentary
44,1,Documentary
30,1,Horror
32,0,Comedy
57,0,Romance
17,1,Thriller
26,0,Animation
13,0,Drama
46,1,Thriller
39,1,Horror
27,0,Documentary
27,1,Action
21,0,Animation
15,0,Animation
49,0,Sci-Fi
45,0,Animation
19,1,Comedy
50,1,Comedy
52,1,Romance
9,1,Animation
44,1,Documentary
24,0,Fantasy
8,0,Thriller
52,1,Horror
16,0,Thriller
31,0,Action
33,0,Drama
31,1,Animation
8,1,Documentary
37,0,Drama
30,0,Horror
30,1,Fantasy
52,1,Thriller
53,0,Horror
43,0,Documentary
41,0,Documentary
24,0,Action
33,1,Fantasy
29,0,Thriller
46,1,Comedy
39,0,Thriller
17,1,Action
36,1,Horror
26,1,Action
28,1,Fantasy
26,0,Animation
33,0,Sci-Fi
26,1,Romance
15,0,Documentary
34,1,Thriller
8,1,Fantasy
49,1,Drama
29,0,Drama
10,1,Thriller
49,0,Thriller
14,0,Action
49,1,Animation
32,0,Thriller
27,1,Romance
18,1,Action
41,1,Romance
17,0,Horror
54,1,Action
54,0,Romance
21,1,Romance
26,1,Documentary
28,0,Sci-Fi
34,0,Sci-Fi
12,1,Drama
54,0,Action
31,0,Romance
52,0,Thriller
20,0,Documentary
41,1,Action
47,0,Horror
60,1,Comedy
43,0,Thriller
58,1,Sci-Fi
47,0,Sci-Fi
29,1,Fantasy
10,1,Romance
27,1,Animation
60,1,Animation
13,1,Horror
16,1,Action
55,0,Action
